"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.210682890E1,6.505540530E1,2.560530499E1,2.949364536E1,4.698190638E1,3.211268425E0,3.005097351E2,3.465971093E-1,8.000000000E0,6.995631218E0,3.400000000E1
3.313379552E1,6.505542294E1,2.560524107E1,2.887182545E1,4.636008599E1,3.494720697E0,2.986374512E2,3.504006332E-1,8.000000000E0,7.040398121E0,3.500000000E1
3.412886736E1,6.505543675E1,2.560516687E1,2.793121126E1,4.541946945E1,3.854275465E0,2.931453247E2,3.549648617E-1,8.000000000E0,7.070969582E0,3.600000000E1
3.512297182E1,6.505545661E1,2.560508169E1,2.856308116E1,4.605133773E1,3.992365360E0,2.968713989E2,3.592850542E-1,8.000000000E0,7.006320477E0,3.600000000E1
3.614559317E1,6.505547656E1,2.560500264E1,2.889655918E1,4.638481466E1,4.108781815E0,2.985372314E2,3.644824918E-1,8.000000000E0,7.057361126E0,3.700000000E1
3.715161478E1,6.505549840E1,2.560490465E1,2.867689495E1,4.616514832E1,4.120393753E0,3.042096252E2,3.702233174E-1,6.000000000E0,6.906431198E0,3.700000000E1
3.814940866E1,6.505552610E1,2.560480135E1,2.896663105E1,4.645488344E1,4.125522137E0,3.065646362E2,3.743968501E-1,6.000000000E0,6.814959526E0,3.700000000E1
3.914725086E1,6.505554999E1,2.560473270E1,2.914885493E1,4.663710817E1,4.145754814E0,3.056820679E2,3.795259551E-1,6.000000000E0,6.749881268E0,3.700000000E1
4.014276132E1,6.505557662E1,2.560464340E1,3.012256889E1,4.761082203E1,4.188550949E0,3.054996948E2,3.846859458E-1,6.000000000E0,6.676995754E0,3.800000000E1
4.115340424E1,6.505560963E1,2.560456605E1,3.035955854E1,4.784781428E1,4.213696957E0,3.064030762E2,3.891071704E-1,6.000000000E0,6.631132126E0,3.700000000E1
4.216589701E1,6.505563450E1,2.560449250E1,3.044577935E1,4.793403582E1,4.223801136E0,3.076457825E2,3.939221960E-1,6.000000000E0,6.542337894E0,3.800000000E1
4.313781678E1,6.505565913E1,2.560440806E1,3.123071950E1,4.871897573E1,4.211761475E0,3.103682861E2,3.983290832E-1,6.000000000E0,6.486165524E0,3.600000000E1
4.413617539E1,6.505568486E1,2.560433657E1,3.131337754E1,4.880163489E1,4.210012913E0,3.048665466E2,4.038246889E-1,6.000000000E0,6.377920628E0,3.800000000E1
4.514552320E1,6.505572084E1,2.560425622E1,3.285879822E1,5.034705876E1,4.233232021E0,3.084417114E2,4.084065036E-1,4.000000000E0,6.061500549E0,3.700000000E1
