"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.245280335E0,-4.925999832E1,-3.768000031E1,-2.202599945E2,2.288248130E2
6.253275940E0,-4.920000076E1,-3.791999817E1,-2.203799896E2,2.289670417E2
6.261210511E0,-4.937999725E1,-3.791999817E1,-2.203199921E2,2.289480493E2
6.269206116E0,-4.961999893E1,-3.852000046E1,-2.206199951E2,2.293885720E2
6.277049134E0,-4.973999786E1,-3.887999725E1,-2.205000000E2,2.293599171E2
6.284983704E0,-4.973999786E1,-3.857999802E1,-2.205000000E2,2.293092533E2
6.292918274E0,-4.931999969E1,-3.881999969E1,-2.201399994E2,2.289128089E2
6.300883362E0,-4.920000076E1,-3.857999802E1,-2.201399994E2,2.288464019E2
6.308848450E0,-4.865999985E1,-3.881999969E1,-2.200199890E2,2.286560376E2
6.316721985E0,-4.865999985E1,-3.875999832E1,-2.198999939E2,2.285303927E2
6.324656556E0,-4.877999878E1,-3.839999771E1,-2.202599945E2,2.288416773E2
6.332591126E0,-4.865999985E1,-3.815999985E1,-2.200199890E2,2.285449119E2
6.340525696E0,-4.895999908E1,-3.768000031E1,-2.201399994E2,2.286448846E2
6.348521302E0,-4.895999908E1,-3.786000061E1,-2.201399994E2,2.286746171E2
6.356425355E0,-4.871999741E1,-3.839999771E1,-2.198999939E2,2.284823960E2
6.364359925E0,-4.889999771E1,-3.852000046E1,-2.198399963E2,2.284833127E2
6.372263978E0,-4.920000076E1,-3.870000076E1,-2.197799988E2,2.285204105E2
6.380229065E0,-4.925999832E1,-3.881999969E1,-2.197799988E2,2.285536866E2
6.388224671E0,-4.920000076E1,-3.834000015E1,-2.202599945E2,2.289215168E2
6.396098206E0,-4.931999969E1,-3.863999939E1,-2.201399994E2,2.288823524E2
6.404032776E0,-4.913999939E1,-3.821999741E1,-2.203799896E2,2.290040340E2
6.411967347E0,-4.913999939E1,-3.815999985E1,-2.203799896E2,2.289940282E2
6.419932435E0,-4.950000000E1,-3.839999771E1,-2.200800018E2,2.288231130E2
6.427928040E0,-4.937999725E1,-3.839999771E1,-2.203799896E2,2.290857564E2
6.435832093E0,-4.943999863E1,-3.875999832E1,-2.198399963E2,2.286400554E2
6.443766663E0,-4.913999939E1,-3.863999939E1,-2.199599915E2,2.286704767E2
6.451731751E0,-4.920000076E1,-3.870000076E1,-2.197799988E2,2.285204105E2
6.459666321E0,-4.943999863E1,-3.875999832E1,-2.197200012E2,2.285246811E2
6.467692444E0,-4.895999908E1,-3.857999802E1,-2.196599884E2,2.283331081E2
6.475565980E0,-4.907999802E1,-3.815999985E1,-2.193600006E2,2.279996528E2
6.483500550E0,-4.925999832E1,-3.779999924E1,-2.191799927E2,2.278053041E2
6.491404603E0,-4.871999741E1,-3.738000107E1,-2.190599976E2,2.275042531E2
6.499339173E0,-4.907999802E1,-3.695999908E1,-2.193600006E2,2.278018824E2
6.507334778E0,-4.920000076E1,-3.702000046E1,-2.197799988E2,2.282419076E2
6.515208314E0,-4.913999939E1,-3.731999969E1,-2.195999908E2,2.281045328E2
6.523112366E0,-4.943999863E1,-3.761999893E1,-2.192999878E2,2.279299507E2
6.531016419E0,-4.950000000E1,-3.852000046E1,-2.194799957E2,2.282663115E2
6.538981507E0,-4.979999924E1,-3.893999863E1,-2.192399902E2,2.281721647E2
6.546977112E0,-4.950000000E1,-3.893999863E1,-2.200800018E2,2.289143523E2
6.554881165E0,-4.925999832E1,-3.887999725E1,-2.203199921E2,2.290831738E2
6.562815735E0,-4.902000046E1,-3.875999832E1,-2.202599945E2,2.289536265E2
6.570780823E0,-4.913999939E1,-3.863999939E1,-2.200800018E2,2.287859181E2
6.578715394E0,-4.961999893E1,-3.870000076E1,-2.201399994E2,2.289573185E2
6.586741517E0,-4.968000031E1,-3.870000076E1,-2.202599945E2,2.290856994E2
6.594615052E0,-4.968000031E1,-3.845999908E1,-2.205599976E2,2.293337884E2
6.602549622E0,-4.943999863E1,-3.804000092E1,-2.206799927E2,2.293273082E2
6.610484192E0,-4.931999969E1,-3.797999954E1,-2.201399994E2,2.287718559E2
6.618418763E0,-4.950000000E1,-3.786000061E1,-2.203799896E2,2.290217664E2
6.626444886E0,-4.943999863E1,-3.755999756E1,-2.198999939E2,2.284974271E2
6.634287903E0,-4.925999832E1,-3.768000031E1,-2.196599884E2,2.282473228E2
6.642222474E0,-4.895999908E1,-3.750000000E1,-2.196599884E2,2.281531109E2
6.650187562E0,-4.895999908E1,-3.779999924E1,-2.195399933E2,2.280871108E2
6.658122132E0,-4.937999725E1,-3.821999741E1,-2.193600006E2,2.280744663E2
6.666117737E0,-4.961999893E1,-3.827999878E1,-2.197799988E2,2.285404788E2
6.674021790E0,-4.950000000E1,-3.845999908E1,-2.201999969E2,2.289485973E2
6.681956360E0,-4.955999756E1,-3.863999939E1,-2.200199890E2,2.288187896E2
6.689890931E0,-4.902000046E1,-3.857999802E1,-2.202599945E2,2.289232227E2
6.697825501E0,-4.902000046E1,-3.863999939E1,-2.198399963E2,2.285292847E2
6.705821106E0,-4.920000076E1,-3.863999939E1,-2.194199982E2,2.281640314E2
6.713694642E0,-4.920000076E1,-3.870000076E1,-2.193600006E2,2.281165053E2
6.721629212E0,-4.943999863E1,-3.900000000E1,-2.193600006E2,2.282194631E2
6.729563782E0,-4.907999802E1,-3.947999954E1,-2.195999908E2,2.284549683E2
6.737528870E0,-4.884000015E1,-3.923999786E1,-2.193600006E2,2.281313940E2
6.745493958E0,-4.889999771E1,-3.936000061E1,-2.191799927E2,2.279918608E2
6.753367493E0,-4.877999878E1,-3.923999786E1,-2.190599976E2,2.278300863E2
6.761302064E0,-4.889999771E1,-3.918000031E1,-2.191799927E2,2.279608549E2
6.769236634E0,-4.889999771E1,-3.954000092E1,-2.195399933E2,2.283690656E2
6.777171204E0,-4.847999954E1,-3.936000061E1,-2.194799957E2,2.281906846E2
6.785166810E0,-4.877999878E1,-3.941999817E1,-2.195399933E2,2.283226515E2
6.793009827E0,-4.865999985E1,-3.918000031E1,-2.191199951E2,2.278517945E2
6.800974915E0,-4.853999710E1,-3.875999832E1,-2.192399902E2,2.278697920E2
6.808878968E0,-4.884000015E1,-3.845999908E1,-2.194799957E2,2.281139752E2
6.816813538E0,-4.884000015E1,-3.834000015E1,-2.194199982E2,2.280360428E2
6.824839661E0,-4.920000076E1,-3.845999908E1,-2.197799988E2,2.284798885E2
6.832682679E0,-4.968000031E1,-3.875999832E1,-2.198399963E2,2.286920722E2
6.840617249E0,-4.931999969E1,-3.887999725E1,-2.198999939E2,2.286922033E2
6.848551819E0,-4.925999832E1,-3.875999832E1,-2.201999969E2,2.289474253E2
6.856516907E0,-4.973999786E1,-3.863999939E1,-2.198399963E2,2.286848070E2
6.864512513E0,-4.943999863E1,-3.918000031E1,-2.197200012E2,2.285962922E2
6.872386048E0,-4.997999954E1,-3.918000031E1,-2.193600006E2,2.283678669E2
6.880320618E0,-5.003999710E1,-3.923999786E1,-2.190000000E2,2.280455629E2
6.888285706E0,-4.920000076E1,-3.923999786E1,-2.195999908E2,2.284394307E2
6.896220276E0,-4.943999863E1,-3.870000076E1,-2.195399933E2,2.283414377E2
6.904215882E0,-4.931999969E1,-3.881999969E1,-2.202599945E2,2.290282077E2
6.912150452E0,-4.913999939E1,-3.857999802E1,-2.206199951E2,2.292953075E2
6.920085022E0,-4.907999802E1,-3.893999863E1,-2.201999969E2,2.289393115E2
6.928019593E0,-4.865999985E1,-3.936000061E1,-2.200800018E2,2.288060586E2
6.935954163E0,-4.877999878E1,-3.893999863E1,-2.198399963E2,2.285288511E2
6.943949769E0,-4.920000076E1,-3.923999786E1,-2.197200012E2,2.285547997E2
6.951792786E0,-4.943999863E1,-3.870000076E1,-2.200800018E2,2.288606797E2
6.959788392E0,-5.003999710E1,-3.815999985E1,-2.203799896E2,2.291888451E2
6.967692444E0,-4.979999924E1,-3.821999741E1,-2.205000000E2,2.292619858E2
6.975657532E0,-4.955999756E1,-3.821999741E1,-2.204400024E2,2.291522556E2
6.983653138E0,-4.943999863E1,-3.863999939E1,-2.203799896E2,2.291390470E2
6.991557190E0,-4.913999939E1,-3.875999832E1,-2.205000000E2,2.292102245E2
6.999491761E0,-4.920000076E1,-3.863999939E1,-2.201999969E2,2.289142378E2
7.007456849E0,-4.871999741E1,-3.881999969E1,-2.202599945E2,2.288997503E2
7.015391419E0,-4.865999985E1,-3.881999969E1,-2.200800018E2,2.287137844E2
7.023387024E0,-4.865999985E1,-3.881999969E1,-2.198399963E2,2.284828483E2
7.031230042E0,-4.836000061E1,-3.881999969E1,-2.197200012E2,2.283036596E2
7.039164612E0,-4.877999878E1,-3.857999802E1,-2.196599884E2,2.282945795E2
7.047099183E0,-4.907999802E1,-3.804000092E1,-2.198999939E2,2.284992236E2
7.055033753E0,-4.877999878E1,-3.773999786E1,-2.201399994E2,2.286163053E2
7.063029358E0,-4.895999908E1,-3.786000061E1,-2.201999969E2,2.287323760E2
7.070902894E0,-4.902000046E1,-3.755999756E1,-2.199599915E2,2.284646837E2
7.078837464E0,-4.902000046E1,-3.773999786E1,-2.200800018E2,2.286098753E2
7.086772034E0,-4.955999756E1,-3.809999847E1,-2.195399933E2,2.282665370E2
7.094706605E0,-4.920000076E1,-3.821999741E1,-2.198399963E2,2.284973354E2
7.102702210E0,-4.943999863E1,-3.839999771E1,-2.197799988E2,2.285215989E2
7.110606263E0,-4.937999725E1,-3.857999802E1,-2.191799927E2,2.279619915E2
7.118540833E0,-4.931999969E1,-3.893999863E1,-2.195399933E2,2.283562885E2
7.126505921E0,-4.925999832E1,-3.911999893E1,-2.193600006E2,2.282010772E2
7.134440491E0,-4.943999863E1,-3.918000031E1,-2.200800018E2,2.289423357E2
7.142466614E0,-4.920000076E1,-3.911999893E1,-2.205000000E2,2.292842437E2
7.150340149E0,-4.889999771E1,-3.893999863E1,-2.203199921E2,2.290162269E2
7.158274720E0,-4.907999802E1,-3.845999908E1,-2.200800018E2,2.287427047E2
7.166209290E0,-4.853999710E1,-3.870000076E1,-2.195399933E2,2.281482633E2
7.174143860E0,-4.884000015E1,-3.863999939E1,-2.194199982E2,2.280866738E2
7.182139466E0,-4.925999832E1,-3.845999908E1,-2.194799957E2,2.282042670E2
7.190013001E0,-4.925999832E1,-3.893999863E1,-2.197799988E2,2.285740991E2
7.197917054E0,-4.955999756E1,-3.881999969E1,-2.195399933E2,2.283878158E2
7.205851624E0,-4.950000000E1,-3.875999832E1,-2.198399963E2,2.286530373E2
7.213786194E0,-4.931999969E1,-3.863999939E1,-2.197799988E2,2.285361236E2
7.221751282E0,-4.920000076E1,-3.821999741E1,-2.191199951E2,2.278046982E2
7.229624817E0,-4.895999908E1,-3.809999847E1,-2.197799988E2,2.283679909E2
7.237620423E0,-4.847999954E1,-3.809999847E1,-2.191799927E2,2.276879211E2
7.245554993E0,-4.836000061E1,-3.786000061E1,-2.194799957E2,2.279112499E2
7.253489564E0,-4.871999741E1,-3.791999817E1,-2.196599884E2,2.281711527E2
7.261485169E0,-4.841999817E1,-3.797999954E1,-2.192399902E2,2.277128672E2
7.269328187E0,-4.853999710E1,-3.804000092E1,-2.195399933E2,2.280372374E2
7.277262757E0,-4.853999710E1,-3.839999771E1,-2.193600006E2,2.279243318E2
7.285166810E0,-4.841999817E1,-3.827999878E1,-2.196599884E2,2.281674057E2
7.293131897E0,-4.829999924E1,-3.863999939E1,-2.197799988E2,2.283181713E2
7.301127503E0,-4.865999985E1,-3.887999725E1,-2.198399963E2,2.284930497E2
7.308970521E0,-4.884000015E1,-3.857999802E1,-2.198999939E2,2.285383320E2
7.316905091E0,-4.895999908E1,-3.870000076E1,-2.198999939E2,2.285842927E2
7.324870179E0,-4.943999863E1,-3.834000015E1,-2.193600006E2,2.281076039E2
7.332804749E0,-4.920000076E1,-3.870000076E1,-2.192399902E2,2.280011041E2
7.340830872E0,-4.889999771E1,-3.911999893E1,-2.191199951E2,2.278928616E2
7.348704407E0,-4.902000046E1,-3.905999756E1,-2.189400024E2,2.277353036E2
7.356638978E0,-4.871999741E1,-3.911999893E1,-2.195999908E2,2.283159400E2
7.364543030E0,-4.902000046E1,-3.875999832E1,-2.195399933E2,2.282610492E2
7.372508118E0,-4.920000076E1,-3.870000076E1,-2.197799988E2,2.285204105E2
7.380503724E0,-4.895999908E1,-3.911999893E1,-2.200199890E2,2.287711769E2
7.388407776E0,-4.920000076E1,-3.905999756E1,-2.197799988E2,2.285816514E2
7.396372864E0,-4.925999832E1,-3.911999893E1,-2.200800018E2,2.288932698E2
7.404276917E0,-4.943999863E1,-3.893999863E1,-2.199599915E2,2.287860022E2
7.412211487E0,-4.986000061E1,-3.857999802E1,-2.201399994E2,2.289892033E2
7.420176575E0,-4.986000061E1,-3.834000015E1,-2.201999969E2,2.290065805E2
7.428050110E0,-4.968000031E1,-3.786000061E1,-2.197200012E2,2.284258326E2
7.435984681E0,-4.950000000E1,-3.768000031E1,-2.197200012E2,2.283569823E2
7.443919251E0,-4.895999908E1,-3.743999863E1,-2.196599884E2,2.281432566E2
7.451853821E0,-4.877999878E1,-3.779999924E1,-2.192999878E2,2.278174990E2
7.459879944E0,-4.877999878E1,-3.786000061E1,-2.195399933E2,2.280584938E2
7.467753480E0,-4.895999908E1,-3.827999878E1,-2.194199982E2,2.280516946E2
7.475688050E0,-4.931999969E1,-3.881999969E1,-2.192999878E2,2.281051060E2
7.483653138E0,-4.931999969E1,-3.881999969E1,-2.196599884E2,2.284512317E2
7.491587708E0,-4.884000015E1,-3.893999863E1,-2.195999908E2,2.283108081E2
7.499583314E0,-4.865999985E1,-3.845999908E1,-2.201399994E2,2.287107047E2
7.507487366E0,-4.847999954E1,-3.797999954E1,-2.201399994E2,2.285922353E2
7.515421937E0,-4.877999878E1,-3.804000092E1,-2.207399902E2,2.292436984E2
7.523356507E0,-4.889999771E1,-3.797999954E1,-2.210999908E2,2.296059583E2
7.531291077E0,-4.884000015E1,-3.839999771E1,-2.206199951E2,2.292009766E2
7.539286683E0,-4.902000046E1,-3.870000076E1,-2.209199982E2,2.295785184E2
7.547190735E0,-4.902000046E1,-3.863999939E1,-2.204400024E2,2.291065356E2
7.555155823E0,-4.920000076E1,-3.870000076E1,-2.199599915E2,2.286935241E2
7.563120911E0,-4.913999939E1,-3.839999771E1,-2.202599945E2,2.289186854E2
7.571055481E0,-4.920000076E1,-3.809999847E1,-2.200800018E2,2.287082359E2
7.579020569E0,-4.907999802E1,-3.809999847E1,-2.199599915E2,2.285669572E2
7.586894105E0,-4.907999802E1,-3.809999847E1,-2.203799896E2,2.289711683E2
7.594828675E0,-4.931999969E1,-3.875999832E1,-2.201399994E2,2.289026412E2
7.602763245E0,-4.895999908E1,-3.900000000E1,-2.200199890E2,2.287506876E2
7.610728333E0,-4.884000015E1,-3.900000000E1,-2.202599945E2,2.289559145E2
7.618693421E0,-4.902000046E1,-3.905999756E1,-2.200800018E2,2.288314905E2
7.626566956E0,-4.877999878E1,-3.845999908E1,-2.199599915E2,2.285630277E2
7.634501526E0,-4.853999710E1,-3.839999771E1,-2.197200012E2,2.282708262E2
7.642497132E0,-4.889999771E1,-3.827999878E1,-2.193600006E2,2.279810912E2
7.650431702E0,-4.884000015E1,-3.815999985E1,-2.194199982E2,2.280058482E2
7.658427308E0,-4.877999878E1,-3.827999878E1,-2.191799927E2,2.277821674E2
7.666270325E0,-4.920000076E1,-3.821999741E1,-2.191799927E2,2.278624091E2
7.674235413E0,-4.877999878E1,-3.804000092E1,-2.195999908E2,2.281461942E2
7.682139466E0,-4.871999741E1,-3.791999817E1,-2.197200012E2,2.282289275E2
7.690074036E0,-4.871999741E1,-3.797999954E1,-2.201399994E2,2.286432545E2
7.698069642E0,-4.847999954E1,-3.797999954E1,-2.204400024E2,2.288811600E2
7.705943177E0,-4.865999985E1,-3.809999847E1,-2.201999969E2,2.287082074E2
7.713877747E0,-4.805999756E1,-3.797999954E1,-2.200800018E2,2.284457286E2
7.721812317E0,-4.853999710E1,-3.791999817E1,-2.199599915E2,2.284216615E2
7.729746888E0,-4.889999771E1,-3.755999756E1,-2.197799988E2,2.282656590E2
7.737773011E0,-4.889999771E1,-3.743999863E1,-2.202599945E2,2.287081731E2
7.745616028E0,-4.955999756E1,-3.761999893E1,-2.200199890E2,2.286487552E2
7.753611634E0,-4.913999939E1,-3.779999924E1,-2.201399994E2,2.287032987E2
7.761515687E0,-4.925999832E1,-3.845999908E1,-2.198399963E2,2.285505260E2
7.769480774E0,-4.889999771E1,-3.875999832E1,-2.197200012E2,2.284084635E2
7.777476380E0,-4.853999710E1,-3.887999725E1,-2.201399994E2,2.287562127E2
7.785380433E0,-4.859999847E1,-3.905999756E1,-2.201399994E2,2.287996123E2
7.793315003E0,-4.805999756E1,-3.845999908E1,-2.206799927E2,2.291038936E2
7.801280091E0,-4.805999756E1,-3.834000015E1,-2.203799896E2,2.287947963E2
7.809184144E0,-4.775999832E1,-3.827999878E1,-2.198999939E2,2.282594643E2
7.817210267E0,-4.781999969E1,-3.779999924E1,-2.190000000E2,2.273248607E2
7.825053284E0,-4.763999939E1,-3.773999786E1,-2.182799988E2,2.265833949E2
7.832987855E0,-4.793999863E1,-3.791999817E1,-2.173199921E2,2.257524057E2
7.840891907E0,-4.841999817E1,-3.786000061E1,-2.170199890E2,2.255560939E2
7.848856995E0,-4.853999710E1,-3.797999954E1,-2.175000000E2,2.260638443E2
7.856852601E0,-4.907999802E1,-3.815999985E1,-2.177399902E2,2.264414607E2
7.864726136E0,-4.943999863E1,-3.779999924E1,-2.185199890E2,2.272094606E2
7.872630189E0,-4.943999863E1,-3.804000092E1,-2.192999878E2,2.279996486E2
7.880564759E0,-4.925999832E1,-3.804000092E1,-2.198999939E2,2.285379540E2
7.888529847E0,-4.925999832E1,-3.845999908E1,-2.203199921E2,2.290122658E2
7.896555970E0,-4.895999908E1,-3.900000000E1,-2.198999939E2,2.286352747E2
7.904398987E0,-4.913999939E1,-3.875999832E1,-2.198399963E2,2.285753727E2
7.912333558E0,-4.961999893E1,-3.923999786E1,-2.193600006E2,2.282996531E2
7.920237610E0,-4.955999756E1,-3.923999786E1,-2.192999878E2,2.282289540E2
7.928202698E0,-4.955999756E1,-3.929999924E1,-2.197799988E2,2.287005272E2
7.936198304E0,-4.913999939E1,-3.936000061E1,-2.193600006E2,2.282164741E2
7.944071839E0,-4.884000015E1,-3.887999725E1,-2.195999908E2,2.283005821E2
7.952006409E0,-4.920000076E1,-3.887999725E1,-2.193600006E2,2.281471107E2
7.959971497E0,-4.925999832E1,-3.852000046E1,-2.196599884E2,2.283874961E2
7.967906067E0,-5.015999985E1,-3.845999908E1,-2.200800018E2,2.289768642E2
7.975932190E0,-4.997999954E1,-3.834000015E1,-2.198999939E2,2.287443186E2
7.983775208E0,-4.961999893E1,-3.827999878E1,-2.198399963E2,2.285981771E2
7.991770814E0,-4.968000031E1,-3.809999847E1,-2.192399902E2,2.280041351E2
7.999705384E0,-4.913999939E1,-3.827999878E1,-2.191199951E2,2.278018220E2
8.007639954E0,-4.889999771E1,-3.875999832E1,-2.195399933E2,2.282353082E2
8.015666077E0,-4.895999908E1,-3.857999802E1,-2.198999939E2,2.285640065E2
8.023509095E0,-4.865999985E1,-3.870000076E1,-2.204400024E2,2.290399099E2
8.031443665E0,-4.895999908E1,-3.870000076E1,-2.203799896E2,2.290460901E2
8.039347718E0,-4.961999893E1,-3.821999741E1,-2.201999969E2,2.289343818E2
8.047312806E0,-4.961999893E1,-3.839999771E1,-2.201999969E2,2.289645011E2
8.055308411E0,-4.997999954E1,-3.863999939E1,-2.200800018E2,2.289678080E2
8.063212464E0,-4.937999725E1,-3.887999725E1,-2.201999969E2,2.289936178E2
8.071147034E0,-4.955999756E1,-3.887999725E1,-2.200800018E2,2.289171351E2
8.079081605E0,-4.955999756E1,-3.875999832E1,-2.200800018E2,2.288967847E2
8.087016175E0,-4.955999756E1,-3.845999908E1,-2.199599915E2,2.287307647E2
8.095011780E0,-4.973999786E1,-3.786000061E1,-2.200800018E2,2.287851705E2
8.102915833E0,-4.920000076E1,-3.804000092E1,-2.201999969E2,2.288137242E2
8.110880921E0,-4.920000076E1,-3.815999985E1,-2.200800018E2,2.287182390E2
8.118815491E0,-4.931999969E1,-3.827999878E1,-2.200800018E2,2.287641315E2
8.126750062E0,-4.931999969E1,-3.857999802E1,-2.197799988E2,2.285259864E2
8.134776185E0,-4.925999832E1,-3.834000015E1,-2.195999908E2,2.282994941E2
8.142619202E0,-4.907999802E1,-3.804000092E1,-2.196599884E2,2.282682597E2
8.150553772E0,-4.871999741E1,-3.809999847E1,-2.194199982E2,2.279701376E2
8.158518860E0,-4.853999710E1,-3.804000092E1,-2.199599915E2,2.284416136E2
8.166483948E0,-4.907999802E1,-3.839999771E1,-2.201399994E2,2.287903524E2
8.174479554E0,-4.937999725E1,-3.870000076E1,-2.201999969E2,2.289631255E2
8.182353089E0,-4.950000000E1,-3.852000046E1,-2.202599945E2,2.290163872E2
8.190287659E0,-4.943999863E1,-3.852000046E1,-2.197799988E2,2.285417943E2
8.198222230E0,-4.889999771E1,-3.857999802E1,-2.197200012E2,2.283779870E2
8.206156800E0,-4.895999908E1,-3.839999771E1,-2.196599884E2,2.283027635E2
8.214182923E0,-4.853999710E1,-3.870000076E1,-2.198399963E2,2.284369615E2
8.222056458E0,-4.902000046E1,-3.857999802E1,-2.197799988E2,2.284614290E2
8.229991028E0,-4.931999969E1,-3.827999878E1,-2.198999939E2,2.285909622E2
8.237895081E0,-4.902000046E1,-3.797999954E1,-2.197200012E2,2.283031313E2
8.245829651E0,-4.950000000E1,-3.750000000E1,-2.197799988E2,2.283850868E2
8.253825257E0,-4.943999863E1,-3.755999756E1,-2.199599915E2,2.285551678E2
8.261729310E0,-4.937999725E1,-3.768000031E1,-2.196599884E2,2.282732509E2
8.269694397E0,-4.931999969E1,-3.809999847E1,-2.194799957E2,2.281568337E2
8.277628968E0,-4.884000015E1,-3.834000015E1,-2.194199982E2,2.280360428E2
8.285594056E0,-4.895999908E1,-3.839999771E1,-2.194199982E2,2.280718679E2
8.293620179E0,-4.895999908E1,-3.827999878E1,-2.198399963E2,2.284558246E2
8.301463196E0,-4.871999741E1,-3.804000092E1,-2.202599945E2,2.287687588E2
8.309428284E0,-4.913999939E1,-3.786000061E1,-2.203799896E2,2.289442269E2
8.317332337E0,-4.871999741E1,-3.786000061E1,-2.198399963E2,2.283344954E2
8.325297425E0,-4.865999985E1,-3.797999954E1,-2.197200012E2,2.282261047E2
8.333262513E0,-4.895999908E1,-3.779999924E1,-2.197799988E2,2.283181318E2
8.341117147E0,-4.859999847E1,-3.815999985E1,-2.198999939E2,2.284166210E2
8.349051717E0,-4.841999817E1,-3.797999954E1,-2.205599976E2,2.289840368E2
8.356986288E0,-4.847999954E1,-3.797999954E1,-2.205000000E2,2.289389454E2
8.364920858E0,-4.871999741E1,-3.887999725E1,-2.198399963E2,2.285058343E2
8.372885946E0,-4.895999908E1,-3.875999832E1,-2.196599884E2,2.283635905E2
8.380789998E0,-4.925999832E1,-3.905999756E1,-2.194199982E2,2.282484752E2
8.388724569E0,-4.902000046E1,-3.929999924E1,-2.191799927E2,2.280072797E2
8.396628621E0,-4.847999954E1,-3.887999725E1,-2.195999908E2,2.282238386E2
8.404563192E0,-4.907999802E1,-3.881999969E1,-2.194199982E2,2.281687406E2
8.412558797E0,-4.895999908E1,-3.857999802E1,-2.195399933E2,2.282176733E2
8.420462850E0,-4.931999969E1,-3.827999878E1,-2.199599915E2,2.286486792E2
8.428397420E0,-4.955999756E1,-3.845999908E1,-2.197799988E2,2.285576793E2
8.436331991E0,-4.877999878E1,-3.839999771E1,-2.199599915E2,2.285529390E2
8.444266561E0,-4.877999878E1,-3.845999908E1,-2.198399963E2,2.284475515E2
8.452231649E0,-4.871999741E1,-3.863999939E1,-2.194799957E2,2.281187327E2
8.460135702E0,-4.865999985E1,-3.870000076E1,-2.197200012E2,2.283470267E2
8.468070272E0,-4.841999817E1,-3.870000076E1,-2.197200012E2,2.282960035E2
8.476035360E0,-4.884000015E1,-3.887999725E1,-2.198399963E2,2.285314503E2
8.484000448E0,-4.829999924E1,-3.863999939E1,-2.201999969E2,2.287224915E2
8.491965536E0,-4.818000031E1,-3.845999908E1,-2.199599915E2,2.284357279E2
8.499869588E0,-4.884000015E1,-3.845999908E1,-2.198399963E2,2.284603710E2
8.507804159E0,-4.811999893E1,-3.839999771E1,-2.201999969E2,2.286441182E2
8.515708211E0,-4.841999817E1,-3.863999939E1,-2.200199890E2,2.285745859E2
8.523642782E0,-4.884000015E1,-3.845999908E1,-2.204400024E2,2.290377956E2
8.531607870E0,-4.877999878E1,-3.900000000E1,-2.201999969E2,2.288854013E2
8.539481405E0,-4.931999969E1,-3.941999817E1,-2.197200012E2,2.286116304E2
8.547415975E0,-4.925999832E1,-3.959999847E1,-2.198399963E2,2.287451230E2
8.555381063E0,-4.913999939E1,-3.977999878E1,-2.195399933E2,2.284622430E2
8.563346151E0,-4.877999878E1,-3.947999954E1,-2.198399963E2,2.286214833E2
8.571280721E0,-4.871999741E1,-3.911999893E1,-2.196599884E2,2.283736477E2
8.579184774E0,-4.877999878E1,-3.887999725E1,-2.193600006E2,2.280569059E2
8.587119344E0,-4.877999878E1,-3.905999756E1,-2.190599976E2,2.277991532E2
8.595053914E0,-4.877999878E1,-3.900000000E1,-2.188799896E2,2.276157687E2
8.603019002E0,-4.871999741E1,-3.911999893E1,-2.190000000E2,2.277389129E2
8.611014608E0,-4.895999908E1,-3.929999924E1,-2.195399933E2,2.283404916E2
8.618888143E0,-4.925999832E1,-3.911999893E1,-2.201999969E2,2.290086470E2
8.626822713E0,-4.943999863E1,-3.900000000E1,-2.206799927E2,2.294885022E2
8.634787801E0,-4.931999969E1,-3.875999832E1,-2.204400024E2,2.291911746E2
8.642722371E0,-4.884000015E1,-3.893999863E1,-2.201999969E2,2.288879808E2
8.650717977E0,-4.841999817E1,-3.905999756E1,-2.200199890E2,2.286459604E2
8.658591512E0,-4.818000031E1,-3.905999756E1,-2.195999908E2,2.281910424E2
8.666587118E0,-4.829999924E1,-3.929999924E1,-2.200800018E2,2.287194506E2
8.674521688E0,-4.847999954E1,-3.905999756E1,-2.205000000E2,2.291205878E2
8.682425741E0,-4.836000061E1,-3.900000000E1,-2.201999969E2,2.287962594E2
8.690390829E0,-4.871999741E1,-3.893999863E1,-2.200800018E2,2.287469537E2
8.698325399E0,-4.877999878E1,-3.887999725E1,-2.196599884E2,2.283454685E2
8.706259969E0,-4.902000046E1,-3.852000046E1,-2.194799957E2,2.281627038E2
8.714194539E0,-4.913999939E1,-3.852000046E1,-2.192399902E2,2.279576787E2
8.722129110E0,-4.877999878E1,-3.839999771E1,-2.191799927E2,2.278023645E2
8.730124715E0,-4.871999741E1,-3.845999908E1,-2.195999908E2,2.282037810E2
8.737998250E0,-4.865999985E1,-3.881999969E1,-2.190000000E2,2.276747416E2
8.745932821E0,-4.889999771E1,-3.863999939E1,-2.193600006E2,2.280418146E2
8.753897909E0,-4.877999878E1,-3.863999939E1,-2.195999908E2,2.282470018E2
8.761832479E0,-4.895999908E1,-3.857999802E1,-2.191199951E2,2.278136739E2
8.769828084E0,-4.913999939E1,-3.863999939E1,-2.197200012E2,2.284396376E2
8.777701620E0,-4.920000076E1,-3.881999969E1,-2.198399963E2,2.285984612E2
8.785636190E0,-4.968000031E1,-3.900000000E1,-2.198999939E2,2.287905368E2
8.793570760E0,-4.961999893E1,-3.900000000E1,-2.203799896E2,2.292389237E2
8.801535848E0,-4.925999832E1,-3.870000076E1,-2.200800018E2,2.288218624E2
8.809500936E0,-4.902000046E1,-3.870000076E1,-2.200199890E2,2.287125840E2
