"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.132612290E-1,-4.637999725E1,-4.073999786E1,-2.183999939E2,2.269568437E2
5.211652810E-1,-4.673999786E1,-4.115999985E1,-2.183399963E2,2.270487326E2
5.290998520E-1,-4.703999710E1,-4.121999741E1,-2.183999939E2,2.271792395E2
5.370344220E-1,-4.763999939E1,-4.091999817E1,-2.188799896E2,2.277113648E2
5.449995100E-1,-4.739999771E1,-4.091999817E1,-2.195999908E2,2.283535899E2
5.529645980E-1,-4.721999741E1,-4.055999756E1,-2.193600006E2,2.280211644E2
5.608686500E-1,-4.679999924E1,-4.025999832E1,-2.193600006E2,2.278813666E2
5.688032210E-1,-4.650000000E1,-4.091999817E1,-2.187599945E2,2.273601360E2
5.767072730E-1,-4.631999969E1,-4.079999924E1,-2.186399994E2,2.271863368E2
5.846723610E-1,-4.668000031E1,-4.127999878E1,-2.187599945E2,2.274620758E2
5.926069320E-1,-4.686000061E1,-4.139999771E1,-2.191799927E2,2.279247434E2
6.004804670E-1,-4.620000076E1,-4.109999847E1,-2.198999939E2,2.284286700E2
6.084455550E-1,-4.650000000E1,-4.115999985E1,-2.198399963E2,2.284425958E2
6.163801250E-1,-4.637999725E1,-4.104000092E1,-2.195399933E2,2.281078571E2
6.243452130E-1,-4.631999969E1,-4.086000061E1,-2.192999878E2,2.278323214E2
6.323103010E-1,-4.721999741E1,-4.068000031E1,-2.186399994E2,2.273500383E2
6.402143540E-1,-4.650000000E1,-4.061999893E1,-2.185199890E2,2.270753617E2
6.481794410E-1,-4.650000000E1,-4.055999756E1,-2.188199921E2,2.273533645E2
6.561140120E-1,-4.655999756E1,-4.055999756E1,-2.185800018E2,2.271346825E2
6.640485820E-1,-4.584000015E1,-4.068000031E1,-2.188799896E2,2.272985215E2
6.720441870E-1,-4.650000000E1,-4.079999924E1,-2.191799927E2,2.277427477E2
6.799177230E-1,-4.650000000E1,-4.073999786E1,-2.192399902E2,2.277897512E2
6.878522930E-1,-4.697999954E1,-4.073999786E1,-2.191199951E2,2.277727816E2
6.957868630E-1,-4.739999771E1,-4.079999924E1,-2.192999878E2,2.280436019E2
7.037519510E-1,-4.709999847E1,-4.086000061E1,-2.190599976E2,2.277613489E2
7.117475570E-1,-4.686000061E1,-4.061999893E1,-2.193600006E2,2.279575703E2
7.196516090E-1,-4.691999817E1,-4.068000031E1,-2.194199982E2,2.280383394E2
7.275861800E-1,-4.673999786E1,-4.068000031E1,-2.194199982E2,2.280013715E2
7.354902320E-1,-4.668000031E1,-4.073999786E1,-2.192999878E2,2.278843007E2
7.434248030E-1,-4.637999725E1,-4.086000061E1,-2.190599976E2,2.276135460E2
7.514204080E-1,-4.620000076E1,-4.073999786E1,-2.191199951E2,2.276131801E2
7.592939430E-1,-4.631999969E1,-4.050000000E1,-2.191199951E2,2.275947377E2
7.672285140E-1,-4.650000000E1,-4.037999725E1,-2.190599976E2,2.275523604E2
7.751630840E-1,-4.709999847E1,-4.050000000E1,-2.192999878E2,2.279279371E2
7.830976540E-1,-4.703999710E1,-4.050000000E1,-2.192399902E2,2.278578167E2
7.910932600E-1,-4.715999985E1,-4.086000061E1,-2.194199982E2,2.281200141E2
7.989973120E-1,-4.752000046E1,-4.043999863E1,-2.196599884E2,2.283507268E2
8.069318830E-1,-4.727999878E1,-4.020000076E1,-2.197200012E2,2.283162659E2
8.148664530E-1,-4.770000076E1,-4.061999893E1,-2.198999939E2,2.286510042E2
8.228315410E-1,-4.752000046E1,-4.007999802E1,-2.194199982E2,2.280563358E2
8.307966290E-1,-4.721999741E1,-4.061999893E1,-2.195399933E2,2.282049980E2
8.387311990E-1,-4.763999939E1,-4.091999817E1,-2.195999908E2,2.284035284E2
8.466657700E-1,-4.752000046E1,-4.061999893E1,-2.195999908E2,2.283249674E2
8.545698220E-1,-4.745999908E1,-4.086000061E1,-2.197799988E2,2.285284206E2
8.625043930E-1,-4.757999802E1,-4.043999863E1,-2.198999939E2,2.285940879E2
8.704999980E-1,-4.727999878E1,-4.043999863E1,-2.193600006E2,2.280122840E2
8.784040510E-1,-4.727999878E1,-4.013999939E1,-2.195399933E2,2.281324757E2
8.863386210E-1,-4.775999832E1,-3.977999878E1,-2.200199890E2,2.286312781E2
8.943037090E-1,-4.793999863E1,-3.959999847E1,-2.198399963E2,2.284644991E2
9.022687970E-1,-4.781999969E1,-3.905999756E1,-2.200800018E2,2.285774332E2
9.102644020E-1,-4.793999863E1,-3.918000031E1,-2.196599884E2,2.282188125E2
9.181379370E-1,-4.787999725E1,-3.941999817E1,-2.191199951E2,2.277279136E2
9.260725080E-1,-4.811999893E1,-3.936000061E1,-2.188799896E2,2.275372361E2
9.339765610E-1,-4.836000061E1,-3.965999985E1,-2.191799927E2,2.279286608E2
9.419416480E-1,-4.865999985E1,-4.002000046E1,-2.194799957E2,2.283437421E2
9.499067360E-1,-4.853999710E1,-4.002000046E1,-2.194799957E2,2.283181996E2
9.577802710E-1,-4.829999924E1,-4.043999863E1,-2.196599884E2,2.285143189E2
9.657148420E-1,-4.836000061E1,-4.031999969E1,-2.194199982E2,2.282751139E2
9.736494120E-1,-4.781999969E1,-3.995999908E1,-2.193600006E2,2.280402679E2
9.815534650E-1,-4.775999832E1,-4.020000076E1,-2.195399933E2,2.282429980E2
9.895490700E-1,-4.787999725E1,-3.995999908E1,-2.195399933E2,2.282259940E2
9.974531230E-1,-4.770000076E1,-4.007999802E1,-2.192999878E2,2.279784660E2
1.005387693E0,-4.763999939E1,-4.031999969E1,-2.195399933E2,2.282390864E2
1.013322264E0,-4.763999939E1,-4.031999969E1,-2.195399933E2,2.282390864E2
1.021256834E0,-4.739999771E1,-4.025999832E1,-2.196599884E2,2.282939722E2
1.029252439E0,-4.721999741E1,-4.031999969E1,-2.196599884E2,2.282672579E2
1.037156492E0,-4.734000015E1,-4.002000046E1,-2.194199982E2,2.280083587E2
1.045091062E0,-4.745999908E1,-3.984000015E1,-2.192999878E2,2.278862913E2
1.053056150E0,-4.787999725E1,-4.002000046E1,-2.190000000E2,2.277171372E2
1.060990721E0,-4.805999756E1,-3.989999771E1,-2.191799927E2,2.279070915E2
1.068986326E0,-4.823999786E1,-4.025999832E1,-2.195999908E2,2.284121731E2
1.076890379E0,-4.829999924E1,-4.043999863E1,-2.195999908E2,2.284566466E2
1.084824949E0,-4.787999725E1,-4.007999802E1,-2.197799988E2,2.284778944E2
1.092759520E0,-4.787999725E1,-4.031999969E1,-2.195399933E2,2.282893015E2
1.100694090E0,-4.793999863E1,-4.013999939E1,-2.192999878E2,2.280393555E2
1.108689695E0,-4.775999832E1,-3.984000015E1,-2.192399902E2,2.278912380E2
1.116563230E0,-4.800000000E1,-3.984000015E1,-2.193600006E2,2.280570882E2
1.124497801E0,-4.763999939E1,-3.947999954E1,-2.194799957E2,2.280344457E2
1.132462889E0,-4.745999908E1,-3.918000031E1,-2.185199890E2,2.270209451E2
1.140427977E0,-4.697999954E1,-3.918000031E1,-2.183399963E2,2.267477603E2
1.148362547E0,-4.703999710E1,-3.881999969E1,-2.174400024E2,2.258315929E2
1.156236082E0,-4.757999802E1,-3.905999756E1,-2.171399994E2,2.256974057E2
1.164170652E0,-4.757999802E1,-3.941999817E1,-2.171999969E2,2.258176945E2
1.172105223E0,-4.787999725E1,-3.929999924E1,-2.171999969E2,2.258601841E2
1.180039793E0,-4.829999924E1,-3.977999878E1,-2.179799957E2,2.267831933E2
1.188035398E0,-4.836000061E1,-3.971999741E1,-2.186999969E2,2.274775956E2
1.195908934E0,-4.818000031E1,-3.965999985E1,-2.197200012E2,2.284099537E2
1.203874021E0,-4.884000015E1,-4.031999969E1,-2.199599915E2,2.288961464E2
1.211808592E0,-4.829999924E1,-4.055999756E1,-2.203199921E2,2.291700291E2
1.219743162E0,-4.781999969E1,-4.073999786E1,-2.201999969E2,2.289858914E2
1.227708250E0,-4.811999893E1,-4.073999786E1,-2.201999969E2,2.290487293E2
1.235612303E0,-4.818000031E1,-4.025999832E1,-2.204400024E2,2.292072743E2
1.243516355E0,-4.818000031E1,-4.025999832E1,-2.200199890E2,2.288033554E2
1.251481443E0,-4.818000031E1,-4.013999939E1,-2.197799988E2,2.285514818E2
1.259416014E0,-4.793999863E1,-4.013999939E1,-2.199599915E2,2.286741368E2
1.267381102E0,-4.763999939E1,-4.002000046E1,-2.196599884E2,2.283017312E2
1.275285154E0,-4.775999832E1,-3.995999908E1,-2.198999939E2,2.285472080E2
1.283219725E0,-4.793999863E1,-4.020000076E1,-2.199599915E2,2.286846767E2
1.291154295E0,-4.793999863E1,-4.020000076E1,-2.195999908E2,2.283384320E2
1.299088865E0,-4.787999725E1,-4.043999863E1,-2.196599884E2,2.284259139E2
1.307053953E0,-4.800000000E1,-4.043999863E1,-2.195999908E2,2.283934094E2
1.314958006E0,-4.823999786E1,-3.989999771E1,-2.194199982E2,2.281759032E2
1.322892576E0,-4.823999786E1,-3.989999771E1,-2.196599884E2,2.284066937E2
1.330857664E0,-4.800000000E1,-3.971999741E1,-2.196599884E2,2.283247439E2
1.338792234E0,-4.775999832E1,-3.947999954E1,-2.197200012E2,2.282905314E2
1.346787840E0,-4.781999969E1,-3.954000092E1,-2.200800018E2,2.286599468E2
1.354691893E0,-4.818000031E1,-3.977999878E1,-2.200199890E2,2.287193833E2
1.362626463E0,-4.853999710E1,-3.989999771E1,-2.200199890E2,2.288163821E2
