"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.996419000E-1,-1.439819098E0,7.031440735E-1,-1.251043677E-1,1.607215519E0
5.076069880E-1,-1.216888905E0,5.646362305E-1,-3.153513074E-1,1.378070799E0
5.155415580E-1,-1.118788838E0,3.372020721E-1,9.213650227E-2,1.172127483E0
5.234150930E-1,-1.045844078E0,2.004919052E-1,5.511153936E-1,1.199047546E0
5.314106990E-1,-9.657938480E-1,3.012657166E-3,7.290866971E-1,1.210096792E0
5.392842340E-1,-8.220640421E-1,-1.618928909E-1,2.341651320E-1,8.699608649E-1
5.471882870E-1,-6.979992390E-1,-3.396329880E-1,-3.638834953E-1,8.573008237E-1
5.551228570E-1,-5.438966751E-1,-4.917211533E-1,-7.828507423E-1,1.072598979E0
5.630269100E-1,-4.347828627E-1,-6.487140656E-1,-9.014215469E-1,1.192655391E0
5.710530330E-1,-3.961135149E-1,-7.720422745E-1,-7.447274327E-1,1.143492081E0
5.789570850E-1,-2.117230892E-1,-9.625234604E-1,-4.059822559E-1,1.065879764E0
5.868306210E-1,9.247159958E-2,-1.045512199E0,-1.605867743E-1,1.061807359E0
5.947651910E-1,1.412228346E-1,-1.076119423E0,-1.648902893E-1,1.097800396E0
6.026082080E-1,8.515906334E-2,-9.823074341E-1,-2.813405395E-1,1.025345044E0
6.106343320E-1,9.868729115E-2,-9.171895981E-1,-3.441167474E-1,9.845772068E-1
6.185383840E-1,2.116990089E-1,-8.552331924E-1,-2.863835692E-1,9.264209802E-1
6.264119190E-1,2.428094149E-1,-6.712818146E-1,-2.672579885E-1,7.622352123E-1
6.343464900E-1,3.766951561E-1,-5.207996368E-1,-3.256458640E-1,7.205391947E-1
6.422200250E-1,5.688867569E-1,-5.216884613E-1,-4.211952984E-1,8.793159115E-1
6.502766650E-1,6.680588722E-1,-7.460231781E-1,1.974290609E-2,1.001620198E0
6.581807180E-1,7.648629546E-1,-7.426137924E-1,8.617537618E-1,1.370806379E0
6.660542530E-1,7.157585621E-1,-6.881275177E-1,1.339911222E0,1.667690584E0
6.740498590E-1,6.342564225E-1,-7.159061432E-1,1.354210377E0,1.657916934E0
